name,age,job,salary
Holly Fisher,30,High School Teacher,8100
Daniel White,63,High School Teacher,18000
Sean Jones,43,Dentist,15000
Cassidy Murray,59,High School Teacher,16800
Mary Miller,29,Dentist,11300
William Hughes,37,Accountant,11200
Jerry Lee,49,High School Teacher,11800
Kristen Warren MD,40,Software Engineer,14600
Michael Ortiz,56,Accountant,16900
Corey Irwin,55,Software Engineer,19100
Brenda Green,65,Dentist,22600
Jennifer Bowers,47,Software Engineer,14200
Frederick Sanchez,43,Accountant,12500
Michelle Nguyen,51,Dentist,18600
Cynthia Crawford,40,Software Engineer,14100
Joe Moon,57,Dentist,19700
David Mendoza,43,Dentist,16500
Kimberly Ramirez,34,Software Engineer,11300
Zachary Rodriguez,28,Accountant,8000
Scott Russell,65,Dentist,23600
Christopher Anderson,34,Dentist,12300
Christina Perez,49,High School Teacher,14300
Christopher Johnson,25,Accountant,6100
Stacy Malone,48,Software Engineer,16000
Bryan Santiago,24,Software Engineer,8300
Brandon Carroll,24,Accountant,6300
Dr. Megan Weaver,34,Software Engineer,12800
Heather Schultz,25,Dentist,10800
William Wiley,41,Software Engineer,12900
Peter Wright,45,Dentist,16600
Elizabeth Dudley,59,Dentist,21300
Alison Hernandez,58,Accountant,17500
Andrea Fritz,34,Software Engineer,12300
Jennifer Wilson,37,Dentist,14700
Kelly Ryan,57,Accountant,16700
Bradley Garcia,32,Dentist,11700
Colin Tucker,45,Software Engineer,14800
Kayla Mcguire,35,Accountant,10100
Sandra Camacho,38,High School Teacher,10500
Alison Mejia,38,Software Engineer,13000
Justin Smith,56,Accountant,17400
Margaret Silva,42,Software Engineer,13900
Wendy Garcia,53,Software Engineer,18000
Timothy Bennett,23,Software Engineer,9000
Jennifer Torres,40,Dentist,15100
Maria Nguyen,62,Software Engineer,18700
Cathy Joseph,26,Accountant,7100
Thomas Whitaker,30,Accountant,8600
John Gonzalez,49,Software Engineer,16800
Matthew Gay,52,Software Engineer,17700
Heather Harper,33,Dentist,13500
Barbara Nelson,27,Accountant,7400
Christopher Jordan,23,Software Engineer,7500
Joel Allen,60,Accountant,17300
Kyle Klein,53,Accountant,16000
Timothy Novak,29,Software Engineer,8800
Daniel Garcia,51,Software Engineer,16900
Megan Rodriguez,32,Accountant,8900
Cynthia Gray,25,Dentist,10600
Anthony Beck,28,Software Engineer,10000
Michelle Bowers,39,Software Engineer,13000
Patrick Stewart,57,Accountant,15700
Travis Ortiz,33,Dentist,14000
Benjamin Jones,49,Dentist,18300
Alexis Valdez,29,Dentist,12300
Carolyn Ross,25,Dentist,10100
Ronald Howard,50,High School Teacher,14600
Heather Adams,57,Dentist,20700
James Anderson,65,Accountant,20100
Janet Lane,25,High School Teacher,6100
Bonnie Mann,58,Accountant,15500
Tonya Moore,47,Software Engineer,14700
Rodney Ramsey,65,Dentist,22100
Jacqueline Russell,54,Dentist,18300
Jaime Williams,42,High School Teacher,10900
Patricia Green,58,Accountant,17500
Christine Johnson,28,Dentist,11000
Matthew Estrada,34,Software Engineer,12300
Albert Garcia,34,High School Teacher,8500
Elizabeth Campbell,42,High School Teacher,12200
Donna Wright,35,High School Teacher,9600
Seth Andrews,55,Accountant,16100
Micheal Soto,33,Accountant,8000
Stacey Harris,56,High School Teacher,15400
Curtis Morales,45,Software Engineer,14600
Chloe Torres,48,Accountant,14500
Tammy Reeves,50,High School Teacher,13100
Joseph Sanders,26,High School Teacher,7400
William Greer,29,Accountant,7300
Sydney Garcia,53,Dentist,18000
Kerry Dominguez,56,Dentist,18900
Brent Nguyen,48,Software Engineer,14500
Joseph Watson,39,Dentist,13800
Casey Bryant,64,Accountant,19800
Dr. Mark Jackson,46,Accountant,12400
Catherine Jones,42,Accountant,13200
Adam Davidson,60,Software Engineer,18100
Melinda Farrell,41,High School Teacher,10400
William Robinson,59,Dentist,20300
Joshua Cruz,44,Dentist,16800
Brittany Murphy,26,Accountant,7100
Carrie Sanchez,58,High School Teacher,15000
Gabrielle Smith,55,Accountant,15600
Michelle Montgomery,43,Dentist,16500
Victor Lane,60,Dentist,21300
Sharon Russell,35,Dentist,14100
Vanessa Burns,59,Software Engineer,20300
Angela Gilmore,54,High School Teacher,14300
Ray Woods,52,Dentist,18700
Miguel Escobar,61,Accountant,16900
Kevin Brooks,59,Software Engineer,19000
Keith Gutierrez,41,High School Teacher,10600
Victoria Morgan MD,26,High School Teacher,5900
Tom Ford,58,Software Engineer,19000
Tracey Washington,26,Dentist,10900
Jill Davis,44,Software Engineer,14300
Alisha Mcdaniel,59,Accountant,17000
Angela Johnson,33,Dentist,12500
William Jennings,41,High School Teacher,10900
Maria Mooney,38,Accountant,12000
Jeffrey Thomas,47,Dentist,16200
Tracey Armstrong,48,Accountant,12500
Whitney Wilson,54,Accountant,15300
Nathaniel Henry,54,High School Teacher,14300
April Strickland,47,Accountant,13200
Anna Mcgee,37,Accountant,9700
Keith Rivers,63,Software Engineer,21500
Kenneth Barker,34,Software Engineer,12300
Christopher Rodriguez,32,Accountant,9200
Andrea Zhang,53,Accountant,15500
Amanda Reed,47,Software Engineer,15200
Donna Hughes,31,Accountant,9900
Dan Holmes,32,Accountant,7700
Kimberly Flynn,58,Dentist,20500
Rachel Rivas,52,High School Teacher,13200
Michael Allen,39,Accountant,10300
Connor Foster,45,Accountant,13100
Erika Richards MD,33,Dentist,14000
Megan Lucas,38,High School Teacher,9500
Justin Moyer,33,Dentist,13200
Angela Carrillo,64,High School Teacher,16300
Mary Montoya,61,High School Teacher,16900
Whitney Johnson,40,Accountant,12100
Charles Walsh,27,Software Engineer,10200
Miranda Mills,47,Software Engineer,16200
Louis Cruz,29,Dentist,12000
Kayla Anderson,50,Dentist,19600
Brianna Adams,57,Dentist,20400
Janice Holmes,54,Dentist,19500
Joe Baker,41,Dentist,15900
Christopher Parks,25,Dentist,12100
Tyler Bennett,65,Dentist,23600
Natalie Jackson,41,Software Engineer,12400
Kevin Rodriguez,29,Dentist,11800
Carol Brown,34,High School Teacher,8800
Jose Jefferson,63,High School Teacher,18000
Lindsay Klein,28,Accountant,8000
William Anthony,52,Software Engineer,17700
Jamie Harris,35,High School Teacher,8100
Bailey Parker,61,Software Engineer,20900
Melissa Mcmahon,33,Software Engineer,10500
Darren Taylor,34,Accountant,8300
Joseph Taylor,27,Dentist,10200
Maria King,24,Dentist,10300
Connie Gray,56,Dentist,19900
Taylor Pacheco,30,Software Engineer,10100
Jeffrey James,54,Software Engineer,17800
Tina Case,53,Dentist,20500
Jessica Wilson,60,Dentist,20100
Sean Buckley,34,Software Engineer,11500
Natasha Mitchell,34,Dentist,14800
Edwin Berry,44,Accountant,12500
Cameron Dudley,27,Dentist,12200
Jennifer Smith,32,Accountant,10200
Mike Townsend,54,Accountant,14300
Paula Hall,60,Software Engineer,19600
Kevin Shepherd,33,Accountant,8500
Gloria Palmer,41,High School Teacher,9900
Eric Mooney,28,Accountant,7500
Jessica Jackson,63,Dentist,23500
Roberto Young,59,Accountant,15800
Ronald Williams,60,Accountant,17100
Belinda Roberts,56,Accountant,15900
Jason Martinez,44,Dentist,16800
Travis Bell,65,High School Teacher,17800
James Wilson,34,High School Teacher,9300
Anthony Cantrell,30,High School Teacher,6100
Jessica Kelly,44,High School Teacher,10800
Karen Swanson,62,Accountant,17900
Joshua Robinson,55,Accountant,16100
Kenneth Wilson,58,High School Teacher,17000
Jennifer Hancock,29,High School Teacher,6800
Jeff Aguilar,58,Accountant,16000
Barbara Fitzgerald,47,Accountant,13700
Joseph Jones,48,Accountant,13000
Ariel Smith,32,Software Engineer,10700
Michael Roman,52,Dentist,20200
Valerie Leon,49,High School Teacher,13800
Sarah Miller,41,Accountant,11900
Lorraine Kirby,25,Dentist,11100
Erik Hall,46,Software Engineer,13900
Richard Wilkins,64,Dentist,22800
Kathy Turner,35,Dentist,12600
Rebecca Harris,47,Software Engineer,16200
Adrian Miller,33,High School Teacher,9000
Jillian Luna,60,Software Engineer,19300
James Maldonado,43,High School Teacher,10000
Tyler Griffin,50,Dentist,19600
Dr. Mark Whitaker,59,Dentist,21800
Valerie Hale,40,Software Engineer,13100
Debra Irwin,63,Software Engineer,20000
Deborah Reid,29,Accountant,9300
Jeremy Webb,43,Accountant,13000
Dr. Christopher Palmer,61,Software Engineer,18900
Wendy Reed,58,Software Engineer,19000
Alyssa Hoover MD,44,Accountant,12800
Jenna Jensen,32,Accountant,8900
Anthony Hughes,58,Dentist,20500
Anna Lee,49,Accountant,13800
Joanna Morales,29,Dentist,10800
Brenda Phillips,24,High School Teacher,6300
Kevin Pollard,46,Accountant,12900
Troy Jackson,63,Software Engineer,20200
David Hamilton,27,Accountant,8700
Anne Santos,54,Dentist,20800
Eric Hampton,26,Software Engineer,10400
Donna Hernandez,34,Accountant,8800
Richard Murphy,37,Accountant,10400
Shannon Olson,45,High School Teacher,11100
Karen Ross,38,High School Teacher,9500
Ronald Hogan,32,Accountant,10200
John Johnson,32,Software Engineer,10900
Kevin Nelson,31,Accountant,9900
Jake Garcia,53,Dentist,18500
Robert Bennett,65,Software Engineer,19600
Edward Neal,63,Software Engineer,20500
Brittany Palmer,54,Accountant,16300
Rachel Harris,48,Software Engineer,15500
Jason Martinez,53,Software Engineer,16000
Allison Schwartz,38,Accountant,11500
Andrew Parrish,26,Accountant,7400
Paul Alvarado,38,Accountant,10700
Michael Whitaker,32,Software Engineer,10700
Katrina Walker,58,Dentist,22000
John Hunt,50,Accountant,13600
David Wong,57,High School Teacher,16700
Dr. Angela Wells MD,23,High School Teacher,4000
Troy Rowland,29,Dentist,12000
Eric Garcia,59,High School Teacher,16300
Michelle Li,52,Software Engineer,15700
Theresa Franklin,34,Dentist,12800
Michelle Miller,23,Software Engineer,9500
Lisa Rowland,36,Accountant,11400
Nicole Johnson,24,Dentist,10800
Timothy Bright,34,Accountant,10300
Lauren Duncan DDS,23,Accountant,6500
Ashley Lee,43,Dentist,15500
Thomas Ramirez,59,High School Teacher,16000
Matthew Gonzalez,27,High School Teacher,7200
Angela Lee,27,Accountant,6700
Philip Vaughn,47,Dentist,16700
Colleen Bishop,44,High School Teacher,11500
Daniel Williams,33,Software Engineer,12000
Matthew Burns,62,Dentist,21700
Kimberly Gibbs,37,Software Engineer,12400
Scott Neal,28,Software Engineer,9000
Ashley Bennett,59,Software Engineer,19800
Brandon Cain,58,Software Engineer,18000
Charles Walters,44,Accountant,13300
Tracy Cohen,58,Dentist,20500
Jennifer Holmes,58,Dentist,20000
William Wolf,27,Accountant,8700
Rebecca Becker,42,High School Teacher,12200
Darin Erickson,47,Accountant,13200
Scott Mcdaniel,59,High School Teacher,17300
Erica Smith,35,High School Teacher,8100
Tanya Jones,54,Dentist,20300
Mark Knox,25,High School Teacher,6600
